0 , ML , HNode: 46, LNode: 217, solved: 150ms, makespan: 45, sum_of_costs: 1339, sum_of_loss: 1256
0 , distance , HNode: 45, LNode: 211, solved: 101ms, makespan: 44, sum_of_costs: 1353, sum_of_loss: 1274
0 , conflict , HNode: 46, LNode: 216, solved: 102ms, makespan: 45, sum_of_costs: 1339, sum_of_loss: 1256
0 , neighbour , HNode: 45, LNode: 199, solved: 101ms, makespan: 44, sum_of_costs: 1320, sum_of_loss: 1259
1 , ML , HNode: 57, LNode: 259, solved: 173ms, makespan: 56, sum_of_costs: 1431, sum_of_loss: 1304
1 , distance , HNode: 57, LNode: 263, solved: 127ms, makespan: 56, sum_of_costs: 1439, sum_of_loss: 1314
1 , conflict , HNode: 57, LNode: 264, solved: 128ms, makespan: 56, sum_of_costs: 1422, sum_of_loss: 1302
1 , neighbour , HNode: 62, LNode: 262, solved: 137ms, makespan: 60, sum_of_costs: 1421, sum_of_loss: 1340
2 , ML , HNode: 48, LNode: 223, solved: 153ms, makespan: 47, sum_of_costs: 1158, sum_of_loss: 1046
2 , distance , HNode: 46, LNode: 215, solved: 103ms, makespan: 45, sum_of_costs: 1236, sum_of_loss: 1115
2 , conflict , HNode: 50, LNode: 232, solved: 111ms, makespan: 49, sum_of_costs: 1185, sum_of_loss: 1048
2 , neighbour , HNode: 49, LNode: 222, solved: 113ms, makespan: 48, sum_of_costs: 1213, sum_of_loss: 1057
3 , ML , HNode: 52, LNode: 232, solved: 163ms, makespan: 51, sum_of_costs: 1354, sum_of_loss: 1218
3 , distance , HNode: 51, LNode: 234, solved: 120ms, makespan: 50, sum_of_costs: 1360, sum_of_loss: 1222
3 , conflict , HNode: 52, LNode: 234, solved: 131ms, makespan: 51, sum_of_costs: 1364, sum_of_loss: 1228
3 , neighbour , HNode: 70, LNode: 315, solved: 198ms, makespan: 68, sum_of_costs: 1424, sum_of_loss: 1262
4 , ML , HNode: 63, LNode: 284, solved: 258ms, makespan: 62, sum_of_costs: 1266, sum_of_loss: 1175
4 , distance , HNode: 50, LNode: 219, solved: 135ms, makespan: 49, sum_of_costs: 1191, sum_of_loss: 1116
4 , conflict , HNode: 66, LNode: 309, solved: 147ms, makespan: 64, sum_of_costs: 1255, sum_of_loss: 1177
4 , neighbour , HNode: 50, LNode: 226, solved: 114ms, makespan: 49, sum_of_costs: 1170, sum_of_loss: 1107
5 , ML , HNode: 51, LNode: 237, solved: 159ms, makespan: 50, sum_of_costs: 1113, sum_of_loss: 996
5 , distance , HNode: 50, LNode: 237, solved: 111ms, makespan: 49, sum_of_costs: 1156, sum_of_loss: 1027
5 , conflict , HNode: 51, LNode: 237, solved: 113ms, makespan: 50, sum_of_costs: 1113, sum_of_loss: 996
5 , neighbour , HNode: 65, LNode: 331, solved: 139ms, makespan: 59, sum_of_costs: 1252, sum_of_loss: 1081
6 , ML , HNode: 48, LNode: 220, solved: 156ms, makespan: 47, sum_of_costs: 1207, sum_of_loss: 1075
6 , distance , HNode: 48, LNode: 224, solved: 120ms, makespan: 47, sum_of_costs: 1228, sum_of_loss: 1102
6 , conflict , HNode: 48, LNode: 220, solved: 121ms, makespan: 47, sum_of_costs: 1207, sum_of_loss: 1075
6 , neighbour , HNode: 48, LNode: 208, solved: 107ms, makespan: 47, sum_of_costs: 1249, sum_of_loss: 1083
7 , ML , HNode: 48, LNode: 220, solved: 213ms, makespan: 47, sum_of_costs: 1293, sum_of_loss: 1172
7 , distance , HNode: 48, LNode: 222, solved: 146ms, makespan: 47, sum_of_costs: 1245, sum_of_loss: 1158
7 , conflict , HNode: 48, LNode: 219, solved: 117ms, makespan: 47, sum_of_costs: 1293, sum_of_loss: 1172
7 , neighbour , HNode: 68, LNode: 392, solved: 162ms, makespan: 57, sum_of_costs: 1304, sum_of_loss: 1170
8 , ML , HNode: 45, LNode: 202, solved: 174ms, makespan: 44, sum_of_costs: 1405, sum_of_loss: 1271
8 , distance , HNode: 45, LNode: 192, solved: 102ms, makespan: 44, sum_of_costs: 1284, sum_of_loss: 1247
8 , conflict , HNode: 47, LNode: 212, solved: 126ms, makespan: 46, sum_of_costs: 1412, sum_of_loss: 1275
8 , neighbour , HNode: 49, LNode: 220, solved: 215ms, makespan: 48, sum_of_costs: 1449, sum_of_loss: 1277
9 , ML , HNode: 44, LNode: 200, solved: 312ms, makespan: 43, sum_of_costs: 1343, sum_of_loss: 1201
9 , distance , HNode: 44, LNode: 209, solved: 254ms, makespan: 43, sum_of_costs: 1348, sum_of_loss: 1200
9 , conflict , HNode: 44, LNode: 201, solved: 158ms, makespan: 43, sum_of_costs: 1343, sum_of_loss: 1201
9 , neighbour , HNode: 52, LNode: 230, solved: 200ms, makespan: 50, sum_of_costs: 1442, sum_of_loss: 1252
10 , ML , HNode: 47, LNode: 214, solved: 234ms, makespan: 46, sum_of_costs: 1101, sum_of_loss: 1025
10 , distance , HNode: 47, LNode: 209, solved: 135ms, makespan: 46, sum_of_costs: 1151, sum_of_loss: 1036
10 , conflict , HNode: 48, LNode: 212, solved: 217ms, makespan: 47, sum_of_costs: 1132, sum_of_loss: 1041
10 , neighbour , HNode: 47, LNode: 205, solved: 237ms, makespan: 46, sum_of_costs: 1106, sum_of_loss: 1035
11 , ML , HNode: 53, LNode: 243, solved: 294ms, makespan: 52, sum_of_costs: 1071, sum_of_loss: 979
11 , distance , HNode: 53, LNode: 239, solved: 192ms, makespan: 52, sum_of_costs: 1196, sum_of_loss: 1050
11 , conflict , HNode: 53, LNode: 248, solved: 260ms, makespan: 52, sum_of_costs: 1071, sum_of_loss: 979
11 , neighbour , HNode: 53, LNode: 237, solved: 228ms, makespan: 52, sum_of_costs: 1127, sum_of_loss: 1022
12 , ML , HNode: 46, LNode: 208, solved: 162ms, makespan: 45, sum_of_costs: 1154, sum_of_loss: 1076
12 , distance , HNode: 42, LNode: 185, solved: 166ms, makespan: 41, sum_of_costs: 1199, sum_of_loss: 1112
12 , conflict , HNode: 44, LNode: 194, solved: 123ms, makespan: 43, sum_of_costs: 1200, sum_of_loss: 1111
12 , neighbour , HNode: 51, LNode: 218, solved: 233ms, makespan: 50, sum_of_costs: 1211, sum_of_loss: 1120
13 , ML , HNode: 54, LNode: 250, solved: 307ms, makespan: 53, sum_of_costs: 1365, sum_of_loss: 1214
13 , distance , HNode: 50, LNode: 226, solved: 207ms, makespan: 49, sum_of_costs: 1446, sum_of_loss: 1270
13 , conflict , HNode: 54, LNode: 250, solved: 179ms, makespan: 53, sum_of_costs: 1365, sum_of_loss: 1214
13 , neighbour , HNode: 49, LNode: 210, solved: 245ms, makespan: 48, sum_of_costs: 1395, sum_of_loss: 1230
14 , ML , HNode: 57, LNode: 262, solved: 185ms, makespan: 56, sum_of_costs: 1272, sum_of_loss: 1126
14 , distance , HNode: 56, LNode: 258, solved: 208ms, makespan: 55, sum_of_costs: 1229, sum_of_loss: 1129
14 , conflict , HNode: 56, LNode: 248, solved: 266ms, makespan: 55, sum_of_costs: 1223, sum_of_loss: 1157
14 , neighbour , HNode: 60, LNode: 271, solved: 180ms, makespan: 59, sum_of_costs: 1222, sum_of_loss: 1131
15 , ML , HNode: 46, LNode: 199, solved: 222ms, makespan: 45, sum_of_costs: 1273, sum_of_loss: 1143
15 , distance , HNode: 46, LNode: 202, solved: 109ms, makespan: 45, sum_of_costs: 1266, sum_of_loss: 1154
15 , conflict , HNode: 49, LNode: 217, solved: 143ms, makespan: 48, sum_of_costs: 1281, sum_of_loss: 1151
15 , neighbour , HNode: 62, LNode: 268, solved: 172ms, makespan: 61, sum_of_costs: 1365, sum_of_loss: 1203
16 , ML , HNode: 53, LNode: 236, solved: 186ms, makespan: 51, sum_of_costs: 1489, sum_of_loss: 1297
16 , distance , HNode: 60, LNode: 352, solved: 162ms, makespan: 51, sum_of_costs: 1388, sum_of_loss: 1276
16 , conflict , HNode: 48, LNode: 212, solved: 135ms, makespan: 47, sum_of_costs: 1481, sum_of_loss: 1289
16 , neighbour , HNode: 91, LNode: 785, solved: 209ms, makespan: 54, sum_of_costs: 1387, sum_of_loss: 1257
17 , ML , HNode: 51, LNode: 229, solved: 203ms, makespan: 50, sum_of_costs: 1365, sum_of_loss: 1229
17 , distance , HNode: 49, LNode: 218, solved: 114ms, makespan: 48, sum_of_costs: 1320, sum_of_loss: 1209
17 , conflict , HNode: 51, LNode: 228, solved: 126ms, makespan: 50, sum_of_costs: 1382, sum_of_loss: 1229
17 , neighbour , HNode: 72, LNode: 319, solved: 197ms, makespan: 70, sum_of_costs: 1500, sum_of_loss: 1271
18 , ML , HNode: 86, LNode: 506, solved: 253ms, makespan: 72, sum_of_costs: 1375, sum_of_loss: 1194
18 , distance , HNode: 51, LNode: 239, solved: 128ms, makespan: 50, sum_of_costs: 1237, sum_of_loss: 1124
18 , conflict , HNode: 86, LNode: 506, solved: 279ms, makespan: 72, sum_of_costs: 1375, sum_of_loss: 1194
18 , neighbour , HNode: 62, LNode: 252, solved: 180ms, makespan: 60, sum_of_costs: 1288, sum_of_loss: 1184
