Agent,Seed,Heuristic,Solved,HNode,LNode,Time,Makespan,SOC,SOL
50,23,ML,1, 47, 216, 51, 46, 1366, 1240
50,23,distance,1, 47, 206, 55, 46, 1342, 1230
50,23,conflict,1, 50, 230, 32, 49, 1340, 1243
50,23,neighbour,1, 51, 232, 32, 50, 1352, 1244
50,24,ML,1, 40, 186, 50, 39, 1143, 1090
50,24,distance,1, 40, 185, 54, 39, 1136, 1067
50,24,conflict,1, 40, 183, 31, 39, 1110, 1046
50,24,neighbour,1, 43, 193, 31, 42, 1200, 1116
50,25,ML,1, 56, 257, 51, 55, 1191, 1082
50,25,distance,1, 56, 254, 31, 55, 1311, 1102
50,25,conflict,1, 56, 255, 31, 55, 1176, 1049
50,25,neighbour,1, 56, 255, 31, 55, 1251, 1080
50,26,ML,1, 48, 227, 30, 47, 1284, 1241
50,26,distance,1, 47, 216, 32, 46, 1271, 1250
50,26,conflict,1, 47, 216, 31, 46, 1286, 1247
50,26,neighbour,1, 50, 233, 57, 49, 1267, 1240
50,27,ML,1, 50, 227, 32, 49, 1366, 1218
50,27,distance,1, 50, 233, 31, 49, 1296, 1202
50,27,conflict,1, 50, 217, 31, 49, 1319, 1186
50,27,neighbour,1, 61, 284, 32, 57, 1384, 1235
50,28,ML,1, 56, 257, 52, 55, 1287, 1119
50,28,distance,1, 56, 260, 32, 55, 1291, 1144
50,28,conflict,1, 56, 255, 31, 55, 1246, 1162
50,28,neighbour,1, 56, 241, 31, 55, 1292, 1153
50,29,ML,1, 59, 270, 55, 58, 1339, 1215
50,29,distance,1, 53, 244, 32, 52, 1273, 1179
50,29,conflict,1, 53, 247, 32, 52, 1232, 1140
50,29,neighbour,1, 53, 238, 32, 52, 1258, 1158
50,30,ML,1, 42, 194, 32, 41, 1263, 1133
50,30,distance,1, 42, 190, 32, 41, 1272, 1146
50,30,conflict,1, 42, 193, 31, 41, 1216, 1121
50,30,neighbour,1, 43, 187, 49, 42, 1219, 1139
50,31,ML,1, 52, 226, 52, 51, 1337, 1270
50,31,distance,1, 52, 227, 31, 51, 1386, 1260
50,31,conflict,1, 52, 237, 31, 51, 1310, 1240
50,31,neighbour,1, 56, 249, 32, 55, 1321, 1239
50,32,ML,1, 49, 221, 49, 48, 1318, 1178
50,32,distance,1, 49, 225, 55, 48, 1205, 1150
50,32,conflict,1, 51, 238, 31, 50, 1195, 1150
50,32,neighbour,1, 49, 222, 31, 48, 1274, 1164
50,33,ML,1, 68, 325, 31, 66, 1394, 1310
50,33,distance,1, 50, 233, 51, 49, 1372, 1254
50,33,conflict,1, 50, 228, 51, 49, 1349, 1231
50,33,neighbour,1, 50, 222, 32, 49, 1475, 1316
50,34,ML,1, 50, 227, 55, 49, 1326, 1205
50,34,distance,1, 50, 236, 31, 49, 1313, 1190
50,34,conflict,1, 50, 231, 32, 49, 1243, 1168
50,34,neighbour,1, 50, 223, 31, 49, 1277, 1211
50,35,ML,1, 40, 185, 55, 39, 1126, 1085
50,35,distance,1, 40, 189, 32, 39, 1137, 1073
50,35,conflict,1, 40, 176, 31, 39, 1105, 1063
50,35,neighbour,1, 63, 263, 31, 61, 1315, 1183
50,36,ML,1, 51, 232, 32, 50, 1215, 1160
50,36,distance,1, 51, 234, 55, 50, 1241, 1156
50,36,conflict,1, 52, 244, 32, 51, 1288, 1139
50,36,neighbour,1, 52, 233, 32, 51, 1260, 1121
50,37,ML,1, 48, 220, 31, 47, 1259, 1132
50,37,distance,1, 48, 223, 32, 47, 1301, 1143
50,37,conflict,1, 49, 221, 31, 48, 1305, 1144
