0 , ML , HNode: 48, LNode: 222, solved: 160ms, makespan: 47, sum_of_costs: 1331, sum_of_loss: 1247
0 , distance , HNode: 45, LNode: 211, solved: 101ms, makespan: 44, sum_of_costs: 1353, sum_of_loss: 1274
0 , conflict , HNode: 46, LNode: 216, solved: 102ms, makespan: 45, sum_of_costs: 1339, sum_of_loss: 1256
0 , neighbour , HNode: 45, LNode: 199, solved: 101ms, makespan: 44, sum_of_costs: 1320, sum_of_loss: 1259
1 , ML , HNode: 61, LNode: 281, solved: 189ms, makespan: 60, sum_of_costs: 1460, sum_of_loss: 1306
1 , distance , HNode: 57, LNode: 263, solved: 125ms, makespan: 56, sum_of_costs: 1439, sum_of_loss: 1314
1 , conflict , HNode: 57, LNode: 264, solved: 126ms, makespan: 56, sum_of_costs: 1422, sum_of_loss: 1302
1 , neighbour , HNode: 62, LNode: 262, solved: 134ms, makespan: 60, sum_of_costs: 1421, sum_of_loss: 1340
2 , ML , HNode: 47, LNode: 212, solved: 152ms, makespan: 46, sum_of_costs: 1147, sum_of_loss: 1037
2 , distance , HNode: 46, LNode: 215, solved: 185ms, makespan: 45, sum_of_costs: 1236, sum_of_loss: 1115
2 , conflict , HNode: 50, LNode: 232, solved: 111ms, makespan: 49, sum_of_costs: 1185, sum_of_loss: 1048
2 , neighbour , HNode: 49, LNode: 222, solved: 108ms, makespan: 48, sum_of_costs: 1213, sum_of_loss: 1057
3 , ML , HNode: 53, LNode: 242, solved: 164ms, makespan: 52, sum_of_costs: 1401, sum_of_loss: 1231
3 , distance , HNode: 51, LNode: 234, solved: 112ms, makespan: 50, sum_of_costs: 1360, sum_of_loss: 1222
3 , conflict , HNode: 52, LNode: 234, solved: 115ms, makespan: 51, sum_of_costs: 1364, sum_of_loss: 1228
3 , neighbour , HNode: 70, LNode: 315, solved: 148ms, makespan: 68, sum_of_costs: 1424, sum_of_loss: 1262
4 , ML , HNode: 50, LNode: 227, solved: 158ms, makespan: 49, sum_of_costs: 1172, sum_of_loss: 1110
4 , distance , HNode: 50, LNode: 219, solved: 110ms, makespan: 49, sum_of_costs: 1191, sum_of_loss: 1116
4 , conflict , HNode: 66, LNode: 309, solved: 143ms, makespan: 64, sum_of_costs: 1255, sum_of_loss: 1177
4 , neighbour , HNode: 50, LNode: 226, solved: 110ms, makespan: 49, sum_of_costs: 1170, sum_of_loss: 1107
5 , ML , HNode: 50, LNode: 238, solved: 158ms, makespan: 49, sum_of_costs: 1073, sum_of_loss: 989
5 , distance , HNode: 50, LNode: 237, solved: 112ms, makespan: 49, sum_of_costs: 1156, sum_of_loss: 1027
5 , conflict , HNode: 51, LNode: 237, solved: 112ms, makespan: 50, sum_of_costs: 1113, sum_of_loss: 996
5 , neighbour , HNode: 65, LNode: 331, solved: 146ms, makespan: 59, sum_of_costs: 1252, sum_of_loss: 1081
6 , ML , HNode: 48, LNode: 218, solved: 155ms, makespan: 47, sum_of_costs: 1260, sum_of_loss: 1098
6 , distance , HNode: 48, LNode: 224, solved: 111ms, makespan: 47, sum_of_costs: 1228, sum_of_loss: 1102
6 , conflict , HNode: 48, LNode: 220, solved: 109ms, makespan: 47, sum_of_costs: 1207, sum_of_loss: 1075
6 , neighbour , HNode: 48, LNode: 208, solved: 108ms, makespan: 47, sum_of_costs: 1249, sum_of_loss: 1083
7 , ML , HNode: 48, LNode: 219, solved: 153ms, makespan: 47, sum_of_costs: 1334, sum_of_loss: 1155
7 , distance , HNode: 48, LNode: 222, solved: 117ms, makespan: 47, sum_of_costs: 1245, sum_of_loss: 1158
7 , conflict , HNode: 48, LNode: 219, solved: 106ms, makespan: 47, sum_of_costs: 1293, sum_of_loss: 1172
7 , neighbour , HNode: 68, LNode: 392, solved: 146ms, makespan: 57, sum_of_costs: 1304, sum_of_loss: 1170
8 , ML , HNode: 47, LNode: 207, solved: 159ms, makespan: 46, sum_of_costs: 1337, sum_of_loss: 1274
8 , distance , HNode: 45, LNode: 192, solved: 102ms, makespan: 44, sum_of_costs: 1284, sum_of_loss: 1247
8 , conflict , HNode: 47, LNode: 212, solved: 105ms, makespan: 46, sum_of_costs: 1412, sum_of_loss: 1275
8 , neighbour , HNode: 49, LNode: 220, solved: 108ms, makespan: 48, sum_of_costs: 1449, sum_of_loss: 1277
9 , ML , HNode: 50, LNode: 224, solved: 157ms, makespan: 49, sum_of_costs: 1391, sum_of_loss: 1262
9 , distance , HNode: 44, LNode: 209, solved: 101ms, makespan: 43, sum_of_costs: 1348, sum_of_loss: 1200
9 , conflict , HNode: 44, LNode: 201, solved: 100ms, makespan: 43, sum_of_costs: 1343, sum_of_loss: 1201
9 , neighbour , HNode: 52, LNode: 230, solved: 115ms, makespan: 50, sum_of_costs: 1442, sum_of_loss: 1252
10 , ML , HNode: 47, LNode: 206, solved: 153ms, makespan: 46, sum_of_costs: 1197, sum_of_loss: 1075
10 , distance , HNode: 47, LNode: 209, solved: 106ms, makespan: 46, sum_of_costs: 1151, sum_of_loss: 1036
10 , conflict , HNode: 48, LNode: 212, solved: 107ms, makespan: 47, sum_of_costs: 1132, sum_of_loss: 1041
10 , neighbour , HNode: 47, LNode: 205, solved: 106ms, makespan: 46, sum_of_costs: 1106, sum_of_loss: 1035
11 , ML , HNode: 53, LNode: 241, solved: 164ms, makespan: 52, sum_of_costs: 1139, sum_of_loss: 1007
11 , distance , HNode: 53, LNode: 239, solved: 117ms, makespan: 52, sum_of_costs: 1196, sum_of_loss: 1050
11 , conflict , HNode: 53, LNode: 248, solved: 117ms, makespan: 52, sum_of_costs: 1071, sum_of_loss: 979
11 , neighbour , HNode: 53, LNode: 237, solved: 117ms, makespan: 52, sum_of_costs: 1127, sum_of_loss: 1022
12 , ML , HNode: 46, LNode: 210, solved: 150ms, makespan: 45, sum_of_costs: 1194, sum_of_loss: 1111
12 , distance , HNode: 42, LNode: 185, solved: 96ms, makespan: 41, sum_of_costs: 1199, sum_of_loss: 1112
12 , conflict , HNode: 44, LNode: 194, solved: 100ms, makespan: 43, sum_of_costs: 1200, sum_of_loss: 1111
12 , neighbour , HNode: 51, LNode: 218, solved: 113ms, makespan: 50, sum_of_costs: 1211, sum_of_loss: 1120
13 , ML , HNode: 50, LNode: 227, solved: 158ms, makespan: 49, sum_of_costs: 1390, sum_of_loss: 1214
13 , distance , HNode: 50, LNode: 226, solved: 113ms, makespan: 49, sum_of_costs: 1446, sum_of_loss: 1270
13 , conflict , HNode: 54, LNode: 250, solved: 119ms, makespan: 53, sum_of_costs: 1365, sum_of_loss: 1214
13 , neighbour , HNode: 49, LNode: 210, solved: 108ms, makespan: 48, sum_of_costs: 1395, sum_of_loss: 1230
14 , ML , HNode: 56, LNode: 264, solved: 177ms, makespan: 55, sum_of_costs: 1188, sum_of_loss: 1131
14 , distance , HNode: 56, LNode: 258, solved: 122ms, makespan: 55, sum_of_costs: 1229, sum_of_loss: 1129
14 , conflict , HNode: 56, LNode: 248, solved: 125ms, makespan: 55, sum_of_costs: 1223, sum_of_loss: 1157
14 , neighbour , HNode: 60, LNode: 271, solved: 130ms, makespan: 59, sum_of_costs: 1222, sum_of_loss: 1131
15 , ML , HNode: 52, LNode: 225, solved: 163ms, makespan: 51, sum_of_costs: 1368, sum_of_loss: 1223
15 , distance , HNode: 46, LNode: 202, solved: 107ms, makespan: 45, sum_of_costs: 1266, sum_of_loss: 1154
15 , conflict , HNode: 49, LNode: 217, solved: 145ms, makespan: 48, sum_of_costs: 1281, sum_of_loss: 1151
15 , neighbour , HNode: 62, LNode: 268, solved: 134ms, makespan: 61, sum_of_costs: 1365, sum_of_loss: 1203
16 , ML , HNode: 53, LNode: 244, solved: 164ms, makespan: 51, sum_of_costs: 1432, sum_of_loss: 1268
16 , distance , HNode: 60, LNode: 352, solved: 131ms, makespan: 51, sum_of_costs: 1388, sum_of_loss: 1276
16 , conflict , HNode: 48, LNode: 212, solved: 106ms, makespan: 47, sum_of_costs: 1481, sum_of_loss: 1289
16 , neighbour , HNode: 91, LNode: 785, solved: 193ms, makespan: 54, sum_of_costs: 1387, sum_of_loss: 1257
17 , ML , HNode: 49, LNode: 226, solved: 156ms, makespan: 48, sum_of_costs: 1381, sum_of_loss: 1231
17 , distance , HNode: 49, LNode: 218, solved: 109ms, makespan: 48, sum_of_costs: 1320, sum_of_loss: 1209
17 , conflict , HNode: 51, LNode: 228, solved: 114ms, makespan: 50, sum_of_costs: 1382, sum_of_loss: 1229
17 , neighbour , HNode: 72, LNode: 319, solved: 153ms, makespan: 70, sum_of_costs: 1500, sum_of_loss: 1271
18 , ML , HNode: 59, LNode: 272, solved: 177ms, makespan: 55, sum_of_costs: 1314, sum_of_loss: 1185
18 , distance , HNode: 51, LNode: 239, solved: 113ms, makespan: 50, sum_of_costs: 1237, sum_of_loss: 1124
18 , conflict , HNode: 86, LNode: 506, solved: 181ms, makespan: 72, sum_of_costs: 1375, sum_of_loss: 1194
18 , neighbour , HNode: 62, LNode: 252, solved: 139ms, makespan: 60, sum_of_costs: 1288, sum_of_loss: 1184
