0 , ML , HNode: 243, LNode: 2949, solved: 573ms, makespan: 49, sum_of_costs: 1391, sum_of_loss: 1263
0 , distance , HNode: 45, LNode: 211, solved: 113ms, makespan: 44, sum_of_costs: 1353, sum_of_loss: 1274
0 , conflict , HNode: 46, LNode: 216, solved: 117ms, makespan: 45, sum_of_costs: 1339, sum_of_loss: 1256
0 , neighbour , HNode: 45, LNode: 199, solved: 110ms, makespan: 44, sum_of_costs: 1320, sum_of_loss: 1259
1 , ML , HNode: 127, LNode: 1045, solved: 374ms, makespan: 66, sum_of_costs: 1556, sum_of_loss: 1343
1 , distance , HNode: 57, LNode: 263, solved: 159ms, makespan: 56, sum_of_costs: 1439, sum_of_loss: 1314
1 , conflict , HNode: 57, LNode: 264, solved: 149ms, makespan: 56, sum_of_costs: 1422, sum_of_loss: 1302
1 , neighbour , HNode: 62, LNode: 262, solved: 182ms, makespan: 60, sum_of_costs: 1421, sum_of_loss: 1340
2 , ML , HNode: 46, LNode: 203, solved: 159ms, makespan: 45, sum_of_costs: 1108, sum_of_loss: 1037
2 , distance , HNode: 46, LNode: 215, solved: 163ms, makespan: 45, sum_of_costs: 1236, sum_of_loss: 1115
2 , conflict , HNode: 50, LNode: 232, solved: 170ms, makespan: 49, sum_of_costs: 1185, sum_of_loss: 1048
2 , neighbour , HNode: 49, LNode: 222, solved: 138ms, makespan: 48, sum_of_costs: 1213, sum_of_loss: 1057
3 , ML , HNode: 51, LNode: 229, solved: 184ms, makespan: 50, sum_of_costs: 1326, sum_of_loss: 1219
3 , distance , HNode: 51, LNode: 234, solved: 135ms, makespan: 50, sum_of_costs: 1360, sum_of_loss: 1222
3 , conflict , HNode: 52, LNode: 234, solved: 136ms, makespan: 51, sum_of_costs: 1364, sum_of_loss: 1228
3 , neighbour , HNode: 70, LNode: 315, solved: 183ms, makespan: 68, sum_of_costs: 1424, sum_of_loss: 1262
4 , ML , HNode: 184, LNode: 2286, solved: 559ms, makespan: 73, sum_of_costs: 1324, sum_of_loss: 1194
4 , distance , HNode: 50, LNode: 219, solved: 136ms, makespan: 49, sum_of_costs: 1191, sum_of_loss: 1116
4 , conflict , HNode: 66, LNode: 309, solved: 161ms, makespan: 64, sum_of_costs: 1255, sum_of_loss: 1177
4 , neighbour , HNode: 50, LNode: 226, solved: 135ms, makespan: 49, sum_of_costs: 1170, sum_of_loss: 1107
5 , ML , HNode: 50, LNode: 215, solved: 167ms, makespan: 49, sum_of_costs: 1128, sum_of_loss: 1012
5 , distance , HNode: 50, LNode: 237, solved: 140ms, makespan: 49, sum_of_costs: 1156, sum_of_loss: 1027
5 , conflict , HNode: 51, LNode: 237, solved: 138ms, makespan: 50, sum_of_costs: 1113, sum_of_loss: 996
5 , neighbour , HNode: 65, LNode: 331, solved: 173ms, makespan: 59, sum_of_costs: 1252, sum_of_loss: 1081
6 , ML , HNode: 48, LNode: 225, solved: 216ms, makespan: 47, sum_of_costs: 1222, sum_of_loss: 1101
6 , distance , HNode: 48, LNode: 224, solved: 108ms, makespan: 47, sum_of_costs: 1228, sum_of_loss: 1102
6 , conflict , HNode: 48, LNode: 220, solved: 132ms, makespan: 47, sum_of_costs: 1207, sum_of_loss: 1075
6 , neighbour , HNode: 48, LNode: 208, solved: 162ms, makespan: 47, sum_of_costs: 1249, sum_of_loss: 1083
7 , ML , HNode: 48, LNode: 218, solved: 180ms, makespan: 47, sum_of_costs: 1298, sum_of_loss: 1165
7 , distance , HNode: 48, LNode: 222, solved: 124ms, makespan: 47, sum_of_costs: 1245, sum_of_loss: 1158
7 , conflict , HNode: 48, LNode: 219, solved: 122ms, makespan: 47, sum_of_costs: 1293, sum_of_loss: 1172
7 , neighbour , HNode: 68, LNode: 392, solved: 163ms, makespan: 57, sum_of_costs: 1304, sum_of_loss: 1170
8 , ML , HNode: 48, LNode: 215, solved: 191ms, makespan: 47, sum_of_costs: 1392, sum_of_loss: 1261
8 , distance , HNode: 45, LNode: 192, solved: 128ms, makespan: 44, sum_of_costs: 1284, sum_of_loss: 1247
8 , conflict , HNode: 47, LNode: 212, solved: 124ms, makespan: 46, sum_of_costs: 1412, sum_of_loss: 1275
8 , neighbour , HNode: 49, LNode: 220, solved: 157ms, makespan: 48, sum_of_costs: 1449, sum_of_loss: 1277
9 , ML , HNode: 51, LNode: 240, solved: 168ms, makespan: 50, sum_of_costs: 1423, sum_of_loss: 1242
9 , distance , HNode: 44, LNode: 209, solved: 129ms, makespan: 43, sum_of_costs: 1348, sum_of_loss: 1200
9 , conflict , HNode: 44, LNode: 201, solved: 123ms, makespan: 43, sum_of_costs: 1343, sum_of_loss: 1201
9 , neighbour , HNode: 52, LNode: 230, solved: 133ms, makespan: 50, sum_of_costs: 1442, sum_of_loss: 1252
10 , ML , HNode: 49, LNode: 224, solved: 164ms, makespan: 48, sum_of_costs: 1099, sum_of_loss: 1037
10 , distance , HNode: 47, LNode: 209, solved: 124ms, makespan: 46, sum_of_costs: 1151, sum_of_loss: 1036
10 , conflict , HNode: 48, LNode: 212, solved: 163ms, makespan: 47, sum_of_costs: 1132, sum_of_loss: 1041
10 , neighbour , HNode: 47, LNode: 205, solved: 177ms, makespan: 46, sum_of_costs: 1106, sum_of_loss: 1035
11 , ML , HNode: 54, LNode: 248, solved: 186ms, makespan: 53, sum_of_costs: 1148, sum_of_loss: 1026
11 , distance , HNode: 53, LNode: 239, solved: 125ms, makespan: 52, sum_of_costs: 1196, sum_of_loss: 1050
11 , conflict , HNode: 53, LNode: 248, solved: 163ms, makespan: 52, sum_of_costs: 1071, sum_of_loss: 979
11 , neighbour , HNode: 53, LNode: 237, solved: 198ms, makespan: 52, sum_of_costs: 1127, sum_of_loss: 1022
12 , ML , HNode: 42, LNode: 186, solved: 160ms, makespan: 41, sum_of_costs: 1190, sum_of_loss: 1099
12 , distance , HNode: 42, LNode: 185, solved: 111ms, makespan: 41, sum_of_costs: 1199, sum_of_loss: 1112
12 , conflict , HNode: 44, LNode: 194, solved: 106ms, makespan: 43, sum_of_costs: 1200, sum_of_loss: 1111
12 , neighbour , HNode: 51, LNode: 218, solved: 150ms, makespan: 50, sum_of_costs: 1211, sum_of_loss: 1120
13 , ML , HNode: 55, LNode: 251, solved: 259ms, makespan: 53, sum_of_costs: 1426, sum_of_loss: 1230
13 , distance , HNode: 50, LNode: 226, solved: 170ms, makespan: 49, sum_of_costs: 1446, sum_of_loss: 1270
13 , conflict , HNode: 54, LNode: 250, solved: 156ms, makespan: 53, sum_of_costs: 1365, sum_of_loss: 1214
13 , neighbour , HNode: 49, LNode: 210, solved: 141ms, makespan: 48, sum_of_costs: 1395, sum_of_loss: 1230
14 , ML , HNode: 57, LNode: 250, solved: 228ms, makespan: 56, sum_of_costs: 1190, sum_of_loss: 1119
14 , distance , HNode: 56, LNode: 258, solved: 148ms, makespan: 55, sum_of_costs: 1229, sum_of_loss: 1129
14 , conflict , HNode: 56, LNode: 248, solved: 152ms, makespan: 55, sum_of_costs: 1223, sum_of_loss: 1157
14 , neighbour , HNode: 60, LNode: 271, solved: 157ms, makespan: 59, sum_of_costs: 1222, sum_of_loss: 1131
15 , ML , HNode: 51, LNode: 229, solved: 285ms, makespan: 50, sum_of_costs: 1260, sum_of_loss: 1157
15 , distance , HNode: 46, LNode: 202, solved: 132ms, makespan: 45, sum_of_costs: 1266, sum_of_loss: 1154
15 , conflict , HNode: 49, LNode: 217, solved: 137ms, makespan: 48, sum_of_costs: 1281, sum_of_loss: 1151
15 , neighbour , HNode: 62, LNode: 268, solved: 163ms, makespan: 61, sum_of_costs: 1365, sum_of_loss: 1203
16 , ML , HNode: 63, LNode: 395, solved: 229ms, makespan: 50, sum_of_costs: 1378, sum_of_loss: 1253
16 , distance , HNode: 60, LNode: 352, solved: 160ms, makespan: 51, sum_of_costs: 1388, sum_of_loss: 1276
16 , conflict , HNode: 48, LNode: 212, solved: 158ms, makespan: 47, sum_of_costs: 1481, sum_of_loss: 1289
16 , neighbour , HNode: 91, LNode: 785, solved: 231ms, makespan: 54, sum_of_costs: 1387, sum_of_loss: 1257
17 , ML , HNode: 55, LNode: 251, solved: 206ms, makespan: 54, sum_of_costs: 1370, sum_of_loss: 1230
17 , distance , HNode: 49, LNode: 218, solved: 130ms, makespan: 48, sum_of_costs: 1320, sum_of_loss: 1209
17 , conflict , HNode: 51, LNode: 228, solved: 166ms, makespan: 50, sum_of_costs: 1382, sum_of_loss: 1229
17 , neighbour , HNode: 72, LNode: 319, solved: 185ms, makespan: 70, sum_of_costs: 1500, sum_of_loss: 1271
18 , ML , HNode: 80, LNode: 594, solved: 267ms, makespan: 54, sum_of_costs: 1327, sum_of_loss: 1189
18 , distance , HNode: 51, LNode: 239, solved: 138ms, makespan: 50, sum_of_costs: 1237, sum_of_loss: 1124
18 , conflict , HNode: 86, LNode: 506, solved: 219ms, makespan: 72, sum_of_costs: 1375, sum_of_loss: 1194
18 , neighbour , HNode: 62, LNode: 252, solved: 163ms, makespan: 60, sum_of_costs: 1288, sum_of_loss: 1184
19 , ML , HNode: 45, LNode: 191, solved: 180ms, makespan: 44, sum_of_costs: 1129, sum_of_loss: 1071
19 , distance , HNode: 45, LNode: 202, solved: 126ms, makespan: 44, sum_of_costs: 1113, sum_of_loss: 1067
19 , conflict , HNode: 57, LNode: 248, solved: 160ms, makespan: 54, sum_of_costs: 1236, sum_of_loss: 1134
19 , neighbour , HNode: 69, LNode: 319, solved: 191ms, makespan: 66, sum_of_costs: 1212, sum_of_loss: 1154
20 , ML , HNode: 87, LNode: 617, solved: 280ms, makespan: 59, sum_of_costs: 1479, sum_of_loss: 1265
20 , distance , HNode: 52, LNode: 236, solved: 140ms, makespan: 51, sum_of_costs: 1431, sum_of_loss: 1288
20 , conflict , HNode: 52, LNode: 238, solved: 141ms, makespan: 51, sum_of_costs: 1387, sum_of_loss: 1261
20 , neighbour , HNode: 69, LNode: 331, solved: 188ms, makespan: 67, sum_of_costs: 1488, sum_of_loss: 1348
21 , ML , HNode: 55, LNode: 242, solved: 206ms, makespan: 54, sum_of_costs: 1359, sum_of_loss: 1211
21 , distance , HNode: 55, LNode: 251, solved: 149ms, makespan: 54, sum_of_costs: 1391, sum_of_loss: 1240
21 , conflict , HNode: 84, LNode: 377, solved: 221ms, makespan: 80, sum_of_costs: 1480, sum_of_loss: 1329
21 , neighbour , HNode: 61, LNode: 274, solved: 176ms, makespan: 60, sum_of_costs: 1316, sum_of_loss: 1218
22 , ML , HNode: 49, LNode: 231, solved: 275ms, makespan: 48, sum_of_costs: 1064, sum_of_loss: 1019
22 , distance , HNode: 46, LNode: 210, solved: 128ms, makespan: 45, sum_of_costs: 1097, sum_of_loss: 1033
22 , conflict , HNode: 46, LNode: 206, solved: 150ms, makespan: 45, sum_of_costs: 1055, sum_of_loss: 1014
22 , neighbour , HNode: 46, LNode: 198, solved: 132ms, makespan: 45, sum_of_costs: 1091, sum_of_loss: 1021
23 , ML , HNode: 52, LNode: 240, solved: 204ms, makespan: 51, sum_of_costs: 1387, sum_of_loss: 1281
23 , distance , HNode: 52, LNode: 233, solved: 146ms, makespan: 51, sum_of_costs: 1415, sum_of_loss: 1304
23 , conflict , HNode: 52, LNode: 245, solved: 151ms, makespan: 51, sum_of_costs: 1441, sum_of_loss: 1291
23 , neighbour , HNode: 52, LNode: 229, solved: 140ms, makespan: 51, sum_of_costs: 1481, sum_of_loss: 1304
24 , ML , HNode: 49, LNode: 222, solved: 206ms, makespan: 48, sum_of_costs: 1288, sum_of_loss: 1164
24 , distance , HNode: 46, LNode: 210, solved: 122ms, makespan: 45, sum_of_costs: 1248, sum_of_loss: 1146
24 , conflict , HNode: 46, LNode: 206, solved: 129ms, makespan: 45, sum_of_costs: 1264, sum_of_loss: 1135
24 , neighbour , HNode: 47, LNode: 208, solved: 133ms, makespan: 46, sum_of_costs: 1300, sum_of_loss: 1156
25 , ML , HNode: 58, LNode: 265, solved: 211ms, makespan: 57, sum_of_costs: 1215, sum_of_loss: 1057
25 , distance , HNode: 56, LNode: 260, solved: 154ms, makespan: 55, sum_of_costs: 1209, sum_of_loss: 1069
25 , conflict , HNode: 58, LNode: 264, solved: 166ms, makespan: 57, sum_of_costs: 1154, sum_of_loss: 1053
25 , neighbour , HNode: 56, LNode: 263, solved: 157ms, makespan: 55, sum_of_costs: 1223, sum_of_loss: 1059
26 , ML , HNode: 83, LNode: 661, solved: 281ms, makespan: 53, sum_of_costs: 1373, sum_of_loss: 1150
26 , distance , HNode: 52, LNode: 240, solved: 142ms, makespan: 51, sum_of_costs: 1365, sum_of_loss: 1131
26 , conflict , HNode: 57, LNode: 266, solved: 159ms, makespan: 56, sum_of_costs: 1412, sum_of_loss: 1145
26 , neighbour , HNode: 55, LNode: 243, solved: 163ms, makespan: 54, sum_of_costs: 1288, sum_of_loss: 1128
27 , ML , HNode: 50, LNode: 234, solved: 221ms, makespan: 49, sum_of_costs: 1093, sum_of_loss: 1022
27 , distance , HNode: 50, LNode: 235, solved: 141ms, makespan: 49, sum_of_costs: 1087, sum_of_loss: 1022
27 , conflict , HNode: 50, LNode: 224, solved: 143ms, makespan: 49, sum_of_costs: 1081, sum_of_loss: 1010
27 , neighbour , HNode: 50, LNode: 226, solved: 141ms, makespan: 49, sum_of_costs: 1071, sum_of_loss: 1018
28 , ML , HNode: 1323, LNode: 33081, solved: 3489ms, makespan: 53, sum_of_costs: 1355, sum_of_loss: 1204
28 , distance , HNode: 44, LNode: 207, solved: 123ms, makespan: 43, sum_of_costs: 1228, sum_of_loss: 1156
28 , conflict , HNode: 44, LNode: 200, solved: 125ms, makespan: 43, sum_of_costs: 1259, sum_of_loss: 1170
28 , neighbour , HNode: 44, LNode: 197, solved: 125ms, makespan: 43, sum_of_costs: 1183, sum_of_loss: 1130
29 , ML , HNode: 46, LNode: 209, solved: 189ms, makespan: 45, sum_of_costs: 1183, sum_of_loss: 1059
29 , distance , HNode: 45, LNode: 197, solved: 136ms, makespan: 44, sum_of_costs: 1147, sum_of_loss: 1052
29 , conflict , HNode: 46, LNode: 207, solved: 132ms, makespan: 45, sum_of_costs: 1174, sum_of_loss: 1050
29 , neighbour , HNode: 45, LNode: 197, solved: 134ms, makespan: 44, sum_of_costs: 1184, sum_of_loss: 1050
30 , ML , HNode: 42, LNode: 188, solved: 182ms, makespan: 41, sum_of_costs: 1150, sum_of_loss: 1086
30 , distance , HNode: 45, LNode: 206, solved: 132ms, makespan: 43, sum_of_costs: 1167, sum_of_loss: 1101
30 , conflict , HNode: 43, LNode: 204, solved: 182ms, makespan: 42, sum_of_costs: 1205, sum_of_loss: 1110
30 , neighbour , HNode: 46, LNode: 201, solved: 143ms, makespan: 45, sum_of_costs: 1178, sum_of_loss: 1097
31 , ML , HNode: 52, LNode: 235, solved: 211ms, makespan: 51, sum_of_costs: 1256, sum_of_loss: 1165
31 , distance , HNode: 52, LNode: 233, solved: 152ms, makespan: 51, sum_of_costs: 1242, sum_of_loss: 1151
31 , conflict , HNode: 54, LNode: 236, solved: 153ms, makespan: 53, sum_of_costs: 1250, sum_of_loss: 1157
31 , neighbour , HNode: 77, LNode: 327, solved: 216ms, makespan: 73, sum_of_costs: 1545, sum_of_loss: 1335
32 , ML , HNode: 52, LNode: 239, solved: 209ms, makespan: 51, sum_of_costs: 1381, sum_of_loss: 1282
32 , distance , HNode: 45, LNode: 212, solved: 127ms, makespan: 44, sum_of_costs: 1371, sum_of_loss: 1294
32 , conflict , HNode: 46, LNode: 213, solved: 136ms, makespan: 45, sum_of_costs: 1345, sum_of_loss: 1259
32 , neighbour , HNode: 78, LNode: 361, solved: 236ms, makespan: 76, sum_of_costs: 1527, sum_of_loss: 1349
33 , ML , HNode: 50, LNode: 228, solved: 206ms, makespan: 49, sum_of_costs: 1260, sum_of_loss: 1142
33 , distance , HNode: 50, LNode: 232, solved: 139ms, makespan: 49, sum_of_costs: 1257, sum_of_loss: 1143
33 , conflict , HNode: 50, LNode: 226, solved: 143ms, makespan: 49, sum_of_costs: 1268, sum_of_loss: 1143
33 , neighbour , HNode: 50, LNode: 228, solved: 142ms, makespan: 49, sum_of_costs: 1229, sum_of_loss: 1134
34 , ML , HNode: 88, LNode: 659, solved: 295ms, makespan: 59, sum_of_costs: 1359, sum_of_loss: 1243
34 , distance , HNode: 52, LNode: 234, solved: 146ms, makespan: 51, sum_of_costs: 1271, sum_of_loss: 1224
34 , conflict , HNode: 52, LNode: 226, solved: 151ms, makespan: 51, sum_of_costs: 1355, sum_of_loss: 1243
34 , neighbour , HNode: 52, LNode: 239, solved: 151ms, makespan: 51, sum_of_costs: 1335, sum_of_loss: 1241
35 , ML , HNode: 47, LNode: 212, solved: 194ms, makespan: 46, sum_of_costs: 1364, sum_of_loss: 1253
35 , distance , HNode: 47, LNode: 213, solved: 142ms, makespan: 46, sum_of_costs: 1380, sum_of_loss: 1272
35 , conflict , HNode: 48, LNode: 216, solved: 139ms, makespan: 47, sum_of_costs: 1371, sum_of_loss: 1255
35 , neighbour , HNode: 50, LNode: 217, solved: 148ms, makespan: 49, sum_of_costs: 1401, sum_of_loss: 1302
36 , ML , HNode: 91, LNode: 707, solved: 312ms, makespan: 59, sum_of_costs: 1352, sum_of_loss: 1216
36 , distance , HNode: 49, LNode: 220, solved: 140ms, makespan: 48, sum_of_costs: 1292, sum_of_loss: 1212
36 , conflict , HNode: 49, LNode: 226, solved: 136ms, makespan: 48, sum_of_costs: 1292, sum_of_loss: 1198
