13 , distance , HNode: 50, LNode: 226, solved: 127ms, makespan: 49, sum_of_costs: 1446, sum_of_loss: 1270
13 , conflict , HNode: 54, LNode: 250, solved: 153ms, makespan: 53, sum_of_costs: 1365, sum_of_loss: 1214
13 , neighbour , HNode: 49, LNode: 210, solved: 138ms, makespan: 48, sum_of_costs: 1395, sum_of_loss: 1230
14 , ML , HNode: 56, LNode: 250, solved: 196ms, makespan: 55, sum_of_costs: 1207, sum_of_loss: 1132
14 , distance , HNode: 56, LNode: 258, solved: 128ms, makespan: 55, sum_of_costs: 1229, sum_of_loss: 1129
14 , conflict , HNode: 56, LNode: 248, solved: 133ms, makespan: 55, sum_of_costs: 1223, sum_of_loss: 1157
14 , neighbour , HNode: 60, LNode: 271, solved: 131ms, makespan: 59, sum_of_costs: 1222, sum_of_loss: 1131
15 , ML , HNode: 47, LNode: 197, solved: 154ms, makespan: 46, sum_of_costs: 1228, sum_of_loss: 1135
15 , distance , HNode: 46, LNode: 202, solved: 105ms, makespan: 45, sum_of_costs: 1266, sum_of_loss: 1154
15 , conflict , HNode: 49, LNode: 217, solved: 117ms, makespan: 48, sum_of_costs: 1281, sum_of_loss: 1151
15 , neighbour , HNode: 62, LNode: 268, solved: 158ms, makespan: 61, sum_of_costs: 1365, sum_of_loss: 1203
16 , ML , HNode: 53, LNode: 248, solved: 205ms, makespan: 51, sum_of_costs: 1429, sum_of_loss: 1284
16 , distance , HNode: 60, LNode: 352, solved: 140ms, makespan: 51, sum_of_costs: 1388, sum_of_loss: 1276
16 , conflict , HNode: 48, LNode: 212, solved: 108ms, makespan: 47, sum_of_costs: 1481, sum_of_loss: 1289
16 , neighbour , HNode: 91, LNode: 785, solved: 192ms, makespan: 54, sum_of_costs: 1387, sum_of_loss: 1257
17 , ML , HNode: 49, LNode: 226, solved: 157ms, makespan: 48, sum_of_costs: 1335, sum_of_loss: 1208
17 , distance , HNode: 49, LNode: 218, solved: 116ms, makespan: 48, sum_of_costs: 1320, sum_of_loss: 1209
17 , conflict , HNode: 51, LNode: 228, solved: 131ms, makespan: 50, sum_of_costs: 1382, sum_of_loss: 1229
17 , neighbour , HNode: 72, LNode: 319, solved: 185ms, makespan: 70, sum_of_costs: 1500, sum_of_loss: 1271
18 , ML , HNode: 52, LNode: 237, solved: 187ms, makespan: 51, sum_of_costs: 1250, sum_of_loss: 1154
18 , distance , HNode: 51, LNode: 239, solved: 119ms, makespan: 50, sum_of_costs: 1237, sum_of_loss: 1124
18 , conflict , HNode: 86, LNode: 506, solved: 181ms, makespan: 72, sum_of_costs: 1375, sum_of_loss: 1194
18 , neighbour , HNode: 62, LNode: 252, solved: 134ms, makespan: 60, sum_of_costs: 1288, sum_of_loss: 1184
19 , ML , HNode: 47, LNode: 195, solved: 161ms, makespan: 46, sum_of_costs: 1181, sum_of_loss: 1098
19 , distance , HNode: 45, LNode: 202, solved: 118ms, makespan: 44, sum_of_costs: 1113, sum_of_loss: 1067
19 , conflict , HNode: 57, LNode: 248, solved: 174ms, makespan: 54, sum_of_costs: 1236, sum_of_loss: 1134
19 , neighbour , HNode: 69, LNode: 319, solved: 160ms, makespan: 66, sum_of_costs: 1212, sum_of_loss: 1154
20 , ML , HNode: 52, LNode: 234, solved: 165ms, makespan: 51, sum_of_costs: 1424, sum_of_loss: 1241
20 , distance , HNode: 52, LNode: 236, solved: 116ms, makespan: 51, sum_of_costs: 1431, sum_of_loss: 1288
20 , conflict , HNode: 52, LNode: 238, solved: 118ms, makespan: 51, sum_of_costs: 1387, sum_of_loss: 1261
20 , neighbour , HNode: 69, LNode: 331, solved: 150ms, makespan: 67, sum_of_costs: 1488, sum_of_loss: 1348
21 , ML , HNode: 57, LNode: 259, solved: 196ms, makespan: 56, sum_of_costs: 1332, sum_of_loss: 1195
21 , distance , HNode: 55, LNode: 251, solved: 150ms, makespan: 54, sum_of_costs: 1391, sum_of_loss: 1240
21 , conflict , HNode: 84, LNode: 377, solved: 198ms, makespan: 80, sum_of_costs: 1480, sum_of_loss: 1329
21 , neighbour , HNode: 61, LNode: 274, solved: 132ms, makespan: 60, sum_of_costs: 1316, sum_of_loss: 1218
22 , ML , HNode: 46, LNode: 212, solved: 153ms, makespan: 45, sum_of_costs: 1062, sum_of_loss: 1018
22 , distance , HNode: 46, LNode: 210, solved: 104ms, makespan: 45, sum_of_costs: 1097, sum_of_loss: 1033
22 , conflict , HNode: 46, LNode: 206, solved: 103ms, makespan: 45, sum_of_costs: 1055, sum_of_loss: 1014
22 , neighbour , HNode: 46, LNode: 198, solved: 111ms, makespan: 45, sum_of_costs: 1091, sum_of_loss: 1021
23 , ML , HNode: 55, LNode: 250, solved: 194ms, makespan: 54, sum_of_costs: 1395, sum_of_loss: 1301
23 , distance , HNode: 52, LNode: 233, solved: 143ms, makespan: 51, sum_of_costs: 1415, sum_of_loss: 1304
23 , conflict , HNode: 52, LNode: 245, solved: 134ms, makespan: 51, sum_of_costs: 1441, sum_of_loss: 1291
