50,0,ML,1, 385, 1662, 101, 384, 9353, 9025
50,0,distance,1, 385, 1680, 103, 384, 9554, 9030
50,0,conflict,1, 385, 1636, 101, 384, 9626, 9010
50,0,neighbour,1, 385, 1630, 101, 384, 9487, 8996
50,1,ML,1, 382, 1680, 100, 381, 8404, 8144
50,1,distance,1, 382, 1686, 105, 381, 8409, 8148
50,1,conflict,1, 382, 1617, 104, 381, 8633, 8145
50,1,neighbour,1, 382, 1594, 100, 381, 8460, 8153
50,2,ML,1, 457, 1977, 105, 456, 9647, 8713
50,2,distance,1, 457, 2020, 104, 456, 9193, 8722
50,2,conflict,1, 457, 1915, 105, 456, 9095, 8717
50,2,neighbour,1, 457, 1936, 105, 456, 8842, 8711
50,3,ML,1, 415, 1771, 106, 414, 9156, 8692
50,3,distance,1, 414, 1840, 111, 413, 9060, 8698
50,3,conflict,1, 414, 1847, 121, 413, 9208, 8696
50,3,neighbour,1, 414, 1734, 104, 413, 9067, 8689
50,4,ML,1, 354, 1551, 101, 353, 8846, 8816
50,4,distance,1, 354, 1537, 102, 353, 8899, 8821
50,4,conflict,1, 354, 1583, 107, 353, 9019, 8816
50,4,neighbour,1, 354, 1491, 131, 353, 8954, 8809
100,0,ML,1, 385, 1649, 135, 384, 17946, 16706
100,0,distance,1, 385, 1655, 134, 384, 18118, 16678
100,0,conflict,1, 385, 1692, 143, 384, 17664, 16690
100,0,neighbour,1, 385, 1634, 135, 384, 17940, 16672
100,1,ML,1, 406, 1762, 141, 405, 18695, 17476
100,1,distance,1, 406, 1753, 143, 405, 18797, 17578
100,1,conflict,1, 406, 1790, 148, 405, 18753, 17501
100,1,neighbour,1, 406, 1717, 141, 405, 18772, 17483
100,2,ML,1, 462, 2028, 147, 461, 19501, 18307
100,2,distance,1, 457, 2009, 144, 456, 19651, 18279
100,2,conflict,1, 461, 2042, 143, 460, 19419, 18273
100,2,neighbour,1, 465, 1984, 153, 464, 18844, 18249
100,3,ML,1, 414, 1815, 141, 413, 18360, 17668
100,3,distance,1, 414, 1826, 141, 413, 19037, 17680
100,3,conflict,1, 417, 1850, 149, 416, 18682, 17653
100,3,neighbour,1, 414, 1742, 141, 413, 18579, 17632
100,4,ML,1, 389, 1636, 143, 388, 18972, 18438
100,4,distance,1, 389, 1679, 147, 388, 18770, 18417
100,4,conflict,1, 389, 1765, 143, 388, 19304, 18449
100,4,neighbour,1, 389, 1633, 143, 388, 18814, 18394
250,0,ML,1, 421, 1859, 257, 420, 50061, 44474
250,0,distance,1, 421, 1855, 255, 420, 49746, 44385
